Timestamp                       Thread     Type        Activity             PID    TTL  
2026-06-11 14:40:55.630134-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:709][0x1000024c9] HID descriptor interface:0 index:0 length:704 704 704
2026-06-11 14:40:55.632534-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:340][0x1000024c9] inPipe:1  inputReportSize:54 inMaxPacketSize:64 inBufferSize:64
2026-06-11 14:40:55.632544-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:383][0x1000024c9] outPipe:0  outMaxPacketSize:0
2026-06-11 14:40:55.632691-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) XeneonTouchDriver: initInputReport -> 0x00000000
2026-06-11 14:40:55.632700-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) XeneonTouchDriver: Super Start OK
2026-06-11 14:40:55.633021-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) XeneonTouchDriver: ifaceDesc: num=0 class=3 subclass=0 protocol=0 endpoints=1 altSetting=0
2026-06-11 14:40:55.633026-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) XeneonTouchDriver: endpoint addr=0x81 attr=0x03 maxPacket=64 interval=1
2026-06-11 14:40:55.634446-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) XeneonTouchDriver: MS OS string 0xEE -> 0xE0005000 xfer=0 first8: 00 00 00 00 00 00 00 00
2026-06-11 14:40:55.634451-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) XeneonTouchDriver: no MSFT100 signature — firmware doesn't use MS OS descriptors
2026-06-11 14:40:55.636140-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) XeneonTouchDriver: SET_REPORT feature 0x21 (2 data bytes, first=0x02) -> 0x00000000 (xfer=2)
2026-06-11 14:40:55.639114-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) XeneonTouchDriver: SET_REPORT feature 0x21 (3 data bytes, first=0x21) -> 0x00000000 (xfer=3)
2026-06-11 14:40:55.642184-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) XeneonTouchDriver: SET_REPORT feature 0x0A (1 data bytes, first=0x0A) -> 0x00000000 (xfer=1)
2026-06-11 14:40:55.642192-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) XeneonTouchDriver: Mode switch done — watching for input reports
